wavelength_nm,ED_m2,MD_m2,EQ_m2,MQ_m2,Total_m2
584.00,7.3037721e-14,7.5542821e-15,5.9464951e-16,8.3427356e-17,8.1270844e-14
586.00,7.2968177e-14,7.4793087e-15,5.7891348e-16,8.1295757e-17,8.1108429e-14
588.00,7.2890034e-14,7.4051181e-15,5.636423e-16,7.9222732e-17,8.0938723e-14
590.00,7.2803376e-14,7.3317026e-15,5.4882088e-16,7.720657e-17,8.0761784e-14
592.00,7.2708289e-14,7.2590545e-15,5.3443468e-16,7.5245609e-17,8.0577676e-14
594.00,7.2604865e-14,7.1871664e-15,5.2046965e-16,7.3338241e-17,8.0386465e-14
596.00,7.2493197e-14,7.1160305e-15,5.0691223e-16,7.1482907e-17,8.0188224e-14
598.00,7.2373382e-14,7.0456395e-15,4.9374935e-16,6.9678094e-17,7.9983028e-14
600.00,7.2245523e-14,6.9759859e-15,4.8096836e-16,6.7922337e-17,7.9770956e-14
602.00,7.2109721e-14,6.9070622e-15,4.6855709e-16,6.6214215e-17,7.955209e-14
604.00,7.1966084e-14,6.8388611e-15,4.5650377e-16,6.4552351e-17,7.9326516e-14
606.00,7.1814723e-14,6.7713753e-15,4.4479702e-16,6.2935409e-17,7.9094326e-14
608.00,7.1655749e-14,6.7045976e-15,4.3342589e-16,6.1362096e-17,7.8855611e-14
610.00,7.1489279e-14,6.6385206e-15,4.2237977e-16,5.9831155e-17,7.8610469e-14
612.00,7.1315429e-14,6.5731373e-15,4.1164843e-16,5.834137e-17,7.8358998e-14
614.00,7.1134321e-14,6.5084406e-15,4.0122199e-16,5.6891561e-17,7.81013e-14
616.00,7.0946078e-14,6.4444234e-15,3.9109091e-16,5.5480582e-17,7.7837481e-14
618.00,7.0750823e-14,6.3810787e-15,3.8124597e-16,5.4107324e-17,7.7567648e-14
620.00,7.0548685e-14,6.3183995e-15,3.7167825e-16,5.2770712e-17,7.7291912e-14
622.00,7.0339793e-14,6.256379e-15,3.6237915e-16,5.14697e-17,7.7010385e-14
624.00,7.0124276e-14,6.1950104e-15,3.5334035e-16,5.0203276e-17,7.6723181e-14
626.00,6.9902269e-14,6.1342868e-15,3.4455383e-16,4.8970459e-17,7.6430418e-14
628.00,6.9673905e-14,6.0742016e-15,3.3601181e-16,4.7770296e-17,7.6132214e-14
630.00,6.943932e-14,6.014748e-15,3.2770678e-16,4.6601863e-17,7.582869e-14
632.00,6.9198651e-14,5.9559194e-15,3.1963149e-16,4.5464264e-17,7.5519968e-14
634.00,6.8952036e-14,5.8977093e-15,3.1177894e-16,4.4356629e-17,7.5206172e-14
636.00,6.8699615e-14,5.8401113e-15,3.0414233e-16,4.3278115e-17,7.4887427e-14
638.00,6.8441527e-14,5.7831187e-15,2.9671512e-16,4.2227903e-17,7.4563859e-14
640.00,6.8177914e-14,5.7267253e-15,2.8949096e-16,4.1205199e-17,7.4235596e-14
642.00,6.7908918e-14,5.6709247e-15,2.8246373e-16,4.0209234e-17,7.3902767e-14
644.00,6.7634681e-14,5.6157106e-15,2.7562749e-16,3.9239259e-17,7.3565501e-14
646.00,6.7355346e-14,5.5610768e-15,2.6897652e-16,3.8294548e-17,7.3223927e-14
648.00,6.7071056e-14,5.5070172e-15,2.6250527e-16,3.7374399e-17,7.2878178e-14
650.00,6.6781954e-14,5.4535256e-15,2.5620838e-16,3.6478127e-17,7.2528383e-14
652.00,6.6488184e-14,5.4005959e-15,2.5008065e-16,3.560507e-17,7.2174675e-14
654.00,6.6189889e-14,5.3482223e-15,2.4411707e-16,3.4754585e-17,7.1817185e-14
656.00,6.5887213e-14,5.2963986e-15,2.3831277e-16,3.3926046e-17,7.1456045e-14
658.00,6.5580298e-14,5.2451191e-15,2.3266306e-16,3.3118847e-17,7.1091387e-14
660.00,6.5269288e-14,5.1943779e-15,2.2716338e-16,3.23324e-17,7.0723343e-14
662.00,6.4954324e-14,5.1441693e-15,2.2180934e-16,3.1566134e-17,7.0352044e-14
664.00,6.4635549e-14,5.0944874e-15,2.1659666e-16,3.0819494e-17,6.9977621e-14
666.00,6.4313104e-14,5.0453267e-15,2.1152123e-16,3.0091942e-17,6.9600206e-14
668.00,6.3987128e-14,4.9966815e-15,2.0657904e-16,2.9382955e-17,6.9219928e-14
670.00,6.3657761e-14,4.9485464e-15,2.0176624e-16,2.8692026e-17,6.8836918e-14
672.00,6.3325143e-14,4.9009156e-15,1.9707907e-16,2.8018661e-17,6.8451303e-14
674.00,6.298941e-14,4.8537839e-15,1.9251391e-16,2.7362382e-17,6.8063211e-14
676.00,6.2650699e-14,4.8071459e-15,1.8806724e-16,2.6722725e-17,6.7672771e-14
678.00,6.2309145e-14,4.7609961e-15,1.8373567e-16,2.6099239e-17,6.7280108e-14
680.00,6.1964883e-14,4.7153293e-15,1.795159e-16,2.5491484e-17,6.6885346e-14
682.00,6.1618044e-14,4.6701403e-15,1.7540474e-16,2.4899036e-17,6.6488611e-14
684.00,6.1268761e-14,4.6254239e-15,1.713991e-16,2.4321482e-17,6.6090024e-14
686.00,6.0917162e-14,4.5811749e-15,1.6749597e-16,2.3758419e-17,6.5689706e-14
688.00,6.0563378e-14,4.5373883e-15,1.6369246e-16,2.3209459e-17,6.5287779e-14
690.00,6.0207533e-14,4.4940591e-15,1.5998576e-16,2.2674221e-17,6.4884359e-14
692.00,5.9849754e-14,4.4511822e-15,1.5637314e-16,2.2152338e-17,6.4479565e-14
694.00,5.9490163e-14,4.4087528e-15,1.5285195e-16,2.1643453e-17,6.4073511e-14
696.00,5.9128882e-14,4.3667659e-15,1.4941964e-16,2.1147219e-17,6.3666312e-14
698.00,5.8766032e-14,4.3252169e-15,1.4607373e-16,2.0663297e-17,6.3258079e-14
700.00,5.840173e-14,4.2841008e-15,1.428118e-16,2.019136e-17,6.2848924e-14
702.00,5.8036092e-14,4.243413e-15,1.3963152e-16,1.973109e-17,6.2438955e-14
704.00,5.7669233e-14,4.2031487e-15,1.3653064e-16,1.9282177e-17,6.2028278e-14
706.00,5.7301264e-14,4.1633035e-15,1.3350695e-16,1.884432e-17,6.1617e-14
708.00,5.6932297e-14,4.1238726e-15,1.3055834e-16,1.8417226e-17,6.1205224e-14
710.00,5.6562439e-14,4.0848516e-15,1.2768273e-16,1.8000613e-17,6.079305e-14
712.00,5.6191797e-14,4.046236e-15,1.2487814e-16,1.7594203e-17,6.0380579e-14
714.00,5.5820475e-14,4.0080214e-15,1.221426e-16,1.7197728e-17,5.9967908e-14
716.00,5.5448575e-14,3.9702033e-15,1.1947425e-16,1.6810928e-17,5.9555132e-14
718.00,5.5076197e-14,3.9327775e-15,1.1687126e-16,1.6433549e-17,5.9142346e-14
720.00,5.470344e-14,3.8957396e-15,1.1433186e-16,1.6065345e-17,5.8729641e-14
722.00,5.4330399e-14,3.8590854e-15,1.1185432e-16,1.5706075e-17,5.8317107e-14
724.00,5.3957167e-14,3.8228107e-15,1.0943697e-16,1.5355507e-17,5.7904831e-14
726.00,5.3583838e-14,3.7869114e-15,1.070782e-16,1.5013415e-17,5.7492899e-14
728.00,5.3210499e-14,3.7513833e-15,1.0477644e-16,1.4679578e-17,5.7081395e-14
730.00,5.2837239e-14,3.7162224e-15,1.0253016e-16,1.4353783e-17,5.66704e-14
732.00,5.2464143e-14,3.6814246e-15,1.0033788e-16,1.403582e-17,5.6259995e-14
734.00,5.2091294e-14,3.646986e-15,9.8198154e-17,1.3725489e-17,5.5850255e-14
736.00,5.1718773e-14,3.6129027e-15,9.61096e-17,1.3422591e-17,5.5441258e-14
738.00,5.1346659e-14,3.5791707e-15,9.4070857e-17,1.3126936e-17,5.5033076e-14
740.00,5.0975029e-14,3.5457862e-15,9.208061e-17,1.2838338e-17,5.4625781e-14
742.00,5.0603957e-14,3.5127454e-15,9.0137581e-17,1.2556615e-17,5.4219442e-14
744.00,5.0233517e-14,3.4800445e-15,8.8240531e-17,1.2281591e-17,5.3814127e-14
746.00,4.9863778e-14,3.4476799e-15,8.6388253e-17,1.2013095e-17,5.3409902e-14
748.00,4.949481e-14,3.4156477e-15,8.4579578e-17,1.175096e-17,5.3006829e-14
750.00,4.9126679e-14,3.3839445e-15,8.2813369e-17,1.1495025e-17,5.2604971e-14
752.00,4.8759449e-14,3.3525665e-15,8.1088521e-17,1.1245131e-17,5.2204388e-14
754.00,4.8393183e-14,3.3215103e-15,7.9403962e-17,1.1001126e-17,5.1805136e-14
756.00,4.8027942e-14,3.2907722e-15,7.775865e-17,1.0762859e-17,5.1407272e-14
758.00,4.7663784e-14,3.2603489e-15,7.6151571e-17,1.0530187e-17,5.101085e-14
760.00,4.7300766e-14,3.2302368e-15,7.4581742e-17,1.0302967e-17,5.0615921e-14
762.00,4.6938942e-14,3.2004326e-15,7.3048206e-17,1.0081062e-17,5.0222537e-14
764.00,4.6578366e-14,3.1709329e-15,7.1550034e-17,9.864339e-18,4.9830745e-14
766.00,4.6219088e-14,3.1417344e-15,7.0086322e-17,9.6526669e-18,4.9440593e-14
768.00,4.5861159e-14,3.1128337e-15,6.8656193e-17,9.4459194e-18,4.9052124e-14
770.00,4.5504624e-14,3.0842276e-15,6.7258793e-17,9.2439731e-18,4.8665383e-14
772.00,4.514953e-14,3.0559129e-15,6.5893292e-17,9.0467082e-18,4.8280411e-14
774.00,4.479592e-14,3.0278864e-15,6.4558884e-17,8.8540077e-18,4.7897247e-14
776.00,4.4443838e-14,3.000145e-15,6.3254784e-17,8.6657582e-18,4.751593e-14
778.00,4.4093322e-14,2.9726855e-15,6.198023e-17,8.4818488e-18,4.7136496e-14
780.00,4.3744413e-14,2.9455049e-15,6.073448e-17,8.302172e-18,4.6758979e-14
782.00,4.3397147e-14,2.9186e-15,5.9516813e-17,8.1266229e-18,4.6383415e-14
784.00,4.305156e-14,2.891968e-15,5.8326528e-17,7.9550994e-18,4.6009833e-14
786.00,4.2707686e-14,2.8656058e-15,5.7162942e-17,7.7875021e-18,4.5638265e-14
788.00,4.2365558e-14,2.8395105e-15,5.6025392e-17,7.6237344e-18,4.526874e-14
790.00,4.2025206e-14,2.8136792e-15,5.4913233e-17,7.4637019e-18,4.4901283e-14
792.00,4.168666e-14,2.7881089e-15,5.3825837e-17,7.307313e-18,4.4535923e-14
794.00,4.1349948e-14,2.7627969e-15,5.2762592e-17,7.1544784e-18,4.4172682e-14
796.00,4.1015097e-14,2.7377403e-15,5.1722905e-17,7.005111e-18,4.3811584e-14
798.00,4.0682131e-14,2.7129364e-15,5.0706198e-17,6.8591263e-18,4.3452652e-14
800.00,4.0351076e-14,2.6883824e-15,4.9711907e-17,6.7164416e-18,4.3095905e-14
802.00,4.0021953e-14,2.6640755e-15,4.8739485e-17,6.5769767e-18,4.2741363e-14
804.00,3.9694784e-14,2.6400132e-15,4.7788399e-17,6.4406533e-18,4.2389044e-14
806.00,3.9369589e-14,2.6161927e-15,4.685813e-17,6.3073952e-18,4.2038964e-14
808.00,3.9046387e-14,2.5926114e-15,4.5948174e-17,6.1771283e-18,4.169114e-14
810.00,3.8725195e-14,2.5692666e-15,4.5058038e-17,6.04978e-18,4.1345585e-14
812.00,3.840603e-14,2.546156e-15,4.4187246e-17,5.9252801e-18,4.1002314e-14
814.00,3.8088907e-14,2.5232768e-15,4.3335331e-17,5.8035599e-18,4.0661338e-14
816.00,3.7773841e-14,2.5006266e-15,4.2501839e-17,5.6845526e-18,4.0322669e-14
818.00,3.7460844e-14,2.4782029e-15,4.1686329e-17,5.568193e-18,3.9986316e-14
820.00,3.7149929e-14,2.4560033e-15,4.0888372e-17,5.4544176e-18,3.9652289e-14
822.00,3.6841107e-14,2.4340253e-15,4.0107548e-17,5.3431647e-18,3.9320596e-14
824.00,3.6534387e-14,2.4122665e-15,3.934345e-17,5.2343739e-18,3.8991244e-14
826.00,3.622978e-14,2.3907245e-15,3.8595681e-17,5.1279867e-18,3.866424e-14
828.00,3.5927292e-14,2.3693971e-15,3.7863854e-17,5.0239457e-18,3.8339589e-14
830.00,3.5626932e-14,2.3482818e-15,3.7147594e-17,4.9221952e-18,3.8017296e-14
832.00,3.5328706e-14,2.3273764e-15,3.6446532e-17,4.8226809e-18,3.7697363e-14
834.00,3.5032619e-14,2.3066786e-15,3.5760311e-17,4.7253498e-18,3.7379795e-14
836.00,3.4738676e-14,2.2861863e-15,3.5088584e-17,4.6301503e-18,3.7064592e-14
838.00,3.4446881e-14,2.2658971e-15,3.4431011e-17,4.5370321e-18,3.6751757e-14
840.00,3.4157237e-14,2.2458088e-15,3.3787261e-17,4.4459462e-18,3.6441289e-14
842.00,3.3869747e-14,2.2259194e-15,3.3157013e-17,4.3568447e-18,3.613319e-14
844.00,3.3584411e-14,2.2062266e-15,3.2539953e-17,4.2696812e-18,3.5827457e-14
846.00,3.3301231e-14,2.1867284e-15,3.1935775e-17,4.1844101e-18,3.5524089e-14
848.00,3.3020208e-14,2.1674226e-15,3.1344181e-17,4.1009871e-18,3.5223085e-14
850.00,3.274134e-14,2.1483073e-15,3.0764881e-17,4.0193691e-18,3.4924441e-14
852.00,3.2464627e-14,2.1293802e-15,3.0197591e-17,3.9395141e-18,3.4628153e-14
854.00,3.2190067e-14,2.1106395e-15,2.9642035e-17,3.8613809e-18,3.4334218e-14
856.00,3.1917658e-14,2.0920831e-15,2.9097945e-17,3.7849295e-18,3.4042632e-14
858.00,3.1647396e-14,2.0737091e-15,2.8565059e-17,3.7101209e-18,3.3753389e-14
860.00,3.1379279e-14,2.0555154e-15,2.804312e-17,3.6369171e-18,3.3466483e-14
862.00,3.1113303e-14,2.0375002e-15,2.753188e-17,3.565281e-18,3.3181908e-14
864.00,3.0849463e-14,2.0196616e-15,2.7031095e-17,3.4951763e-18,3.2899658e-14
866.00,3.0587754e-14,2.0019976e-15,2.6540528e-17,3.4265677e-18,3.2619726e-14
868.00,3.032817e-14,1.9845063e-15,2.6059949e-17,3.3594209e-18,3.2342103e-14
870.00,3.0070707e-14,1.9671861e-15,2.5589132e-17,3.2937023e-18,3.2066783e-14
872.00,2.9815357e-14,1.9500349e-15,2.5127857e-17,3.2293791e-18,3.1793756e-14
874.00,2.9562115e-14,1.9330511e-15,2.467591e-17,3.1664194e-18,3.1523014e-14
876.00,2.9310972e-14,1.9162328e-15,2.4233083e-17,3.1047919e-18,3.1254548e-14
878.00,2.9061921e-14,1.8995782e-15,2.379917e-17,3.0444664e-18,3.0988349e-14
880.00,2.8814954e-14,1.8830857e-15,2.3373974e-17,2.9854132e-18,3.0724405e-14
882.00,2.8570064e-14,1.8667534e-15,2.2957299e-17,2.9276032e-18,3.0462708e-14
884.00,2.8327241e-14,1.8505798e-15,2.2548958e-17,2.8710084e-18,3.0203247e-14
886.00,2.8086477e-14,1.8345631e-15,2.2148764e-17,2.8156011e-18,2.994601e-14
