wavelength_nm,ED_m2,MD_m2,EQ_m2,MQ_m2,Total_m2
674.00,6.2281795e-14,4.8723493e-15,1.9203536e-16,2.7709065e-17,6.737403e-14
676.00,6.1950015e-14,4.8257268e-15,1.8760188e-16,2.7062676e-17,6.6990543e-14
678.00,6.1615403e-14,4.7795905e-15,1.8328308e-16,2.6432597e-17,6.6604841e-14
680.00,6.1278092e-14,4.7339352e-15,1.7907569e-16,2.5818387e-17,6.6217048e-14
682.00,6.0938209e-14,4.6887558e-15,1.7497652e-16,2.5219616e-17,6.5827284e-14
684.00,6.0595885e-14,4.6440471e-15,1.709825e-16,2.463587e-17,6.5435669e-14
686.00,6.0251246e-14,4.599804e-15,1.6709065e-16,2.4066742e-17,6.5042322e-14
688.00,5.9904418e-14,4.5560215e-15,1.6329807e-16,2.3511842e-17,6.464736e-14
690.00,5.9555524e-14,4.5126946e-15,1.5960197e-16,2.2970786e-17,6.4250899e-14
692.00,5.9204688e-14,4.4698184e-15,1.5599962e-16,2.2443205e-17,6.3853053e-14
694.00,5.8852031e-14,4.4273879e-15,1.524884e-16,2.1928739e-17,6.3453936e-14
696.00,5.849767e-14,4.3853984e-15,1.4906576e-16,2.1427038e-17,6.3053658e-14
698.00,5.8141726e-14,4.343845e-15,1.4572922e-16,2.0937761e-17,6.2652331e-14
700.00,5.7784312e-14,4.3027231e-15,1.4247639e-16,2.0460579e-17,6.2250062e-14
702.00,5.7425542e-14,4.2620278e-15,1.3930495e-16,1.9995171e-17,6.1846958e-14
704.00,5.706553e-14,4.2217547e-15,1.3621263e-16,1.9541225e-17,6.1443123e-14
706.00,5.6704385e-14,4.1818991e-15,1.3319726e-16,1.9098438e-17,6.1038662e-14
708.00,5.6342216e-14,4.1424564e-15,1.3025672e-16,1.8666515e-17,6.0633674e-14
710.00,5.5979128e-14,4.1034222e-15,1.2738895e-16,1.824517e-17,6.0228261e-14
712.00,5.5615227e-14,4.064792e-15,1.2459195e-16,1.7834125e-17,5.9822519e-14
714.00,5.5250615e-14,4.0265614e-15,1.2186381e-16,1.7433109e-17,5.9416545e-14
716.00,5.4885392e-14,3.9887261e-15,1.1920263e-16,1.7041861e-17,5.9010432e-14
718.00,5.4519657e-14,3.9512818e-15,1.166066e-16,1.6660123e-17,5.8604272e-14
720.00,5.4153506e-14,3.9142241e-15,1.1407395e-16,1.6287648e-17,5.8198157e-14
