wavelength_nm,ED_m2,MD_m2,EQ_m2,MQ_m2,Total_m2
686.00,7.6378186e-14,5.0531445e-14,1.2885813e-16,2.6236587e-17,1.270648e-13
688.00,7.5249565e-14,5.2236162e-14,1.2573969e-16,2.498136e-17,1.2763652e-13
690.00,7.4141361e-14,5.404455e-14,1.227078e-16,2.3794807e-17,1.2833248e-13
692.00,7.3053162e-14,5.5964848e-14,1.1975973e-16,2.2672646e-17,1.2916051e-13
694.00,7.1984564e-14,5.8006072e-14,1.1689282e-16,2.1610902e-17,1.301292e-13
696.00,7.0935169e-14,6.0178094e-14,1.1410454e-16,2.0605874e-17,1.3124804e-13
698.00,6.9904587e-14,6.2491729e-14,1.1139244e-16,1.965412e-17,1.3252742e-13
700.00,6.8892432e-14,6.4958832e-14,1.0875414e-16,1.8752433e-17,1.3397883e-13
702.00,6.7898328e-14,6.7592393e-14,1.0618737e-16,1.7897825e-17,1.3561486e-13
704.00,6.6921905e-14,7.040665e-14,1.0368991e-16,1.7087508e-17,1.3744939e-13
706.00,6.59628e-14,7.34172e-14,1.0125964e-16,1.6318881e-17,1.3949763e-13
708.00,6.5020657e-14,7.6641118e-14,9.8894516e-17,1.5589516e-17,1.4177631e-13
710.00,6.4095129e-14,8.0097072e-14,9.6592545e-17,1.4897143e-17,1.4430374e-13
712.00,6.3185875e-14,8.380544e-14,9.4351815e-17,1.4239641e-17,1.4709995e-13
714.00,6.2292562e-14,8.7788411e-14,9.217048e-17,1.3615024e-17,1.501868e-13
716.00,6.1414861e-14,9.2070068e-14,9.0046753e-17,1.3021437e-17,1.5358804e-13
718.00,6.0552456e-14,9.6676435e-14,8.7978909e-17,1.2457138e-17,1.5732937e-13
720.00,5.9705032e-14,1.0163547e-13,8.5965282e-17,1.1920499e-17,1.6143843e-13
722.00,5.8872286e-14,1.0697697e-13,8.4004261e-17,1.140999e-17,1.6594471e-13
724.00,5.8053917e-14,1.1273237e-13,8.2094289e-17,1.0924179e-17,1.7087934e-13
726.00,5.7249634e-14,1.1893436e-13,8.0233863e-17,1.0461721e-17,1.7627472e-13
728.00,5.6459151e-14,1.2561629e-13,7.8421526e-17,1.0021352e-17,1.8216392e-13
730.00,5.568219e-14,1.3281123e-13,7.6655873e-17,9.6018857e-18,1.8857971e-13
732.00,5.4918478e-14,1.4055062e-13,7.4935544e-17,9.2022077e-18,1.9555327e-13
734.00,5.4167748e-14,1.488624e-13,7.3259222e-17,8.8212691e-18,2.0311226e-13
736.00,5.3429739e-14,1.5776838e-13,7.1625635e-17,8.4580837e-18,2.1127824e-13
738.00,5.2704198e-14,1.6728078e-13,7.0033551e-17,8.111723e-18,2.2006316e-13
740.00,5.1990874e-14,1.7739772e-13,6.848178e-17,7.7813132e-18,2.2946489e-13
742.00,5.1289525e-14,1.8809751e-13,6.6969167e-17,7.4660309e-18,2.394615e-13
744.00,5.0599914e-14,1.993318e-13,6.5494598e-17,7.1651003e-18,2.500044e-13
746.00,4.9921807e-14,2.1101753e-13,6.4056991e-17,6.8777898e-18,2.610103e-13
748.00,4.9254978e-14,2.2302832e-13,6.2655301e-17,6.6034097e-18,2.7235258e-13
750.00,4.8599204e-14,2.3518595e-13,6.1288515e-17,6.341309e-18,2.8385281e-13
752.00,4.795427e-14,2.4725352e-13,5.9955654e-17,6.0908734e-18,2.9527386e-13
754.00,4.7319962e-14,2.5893217e-13,5.8655766e-17,5.8515226e-18,3.0631667e-13
756.00,4.6696073e-14,2.6986401e-13,5.7387933e-17,5.6227088e-18,3.1662311e-13
758.00,4.6082402e-14,2.7964372e-13,5.6151262e-17,5.4039139e-18,3.257877e-13
760.00,4.5478748e-14,2.8784096e-13,5.4944892e-17,5.1946486e-18,3.3337987e-13
762.00,4.488492e-14,2.9403348e-13,5.3767984e-17,4.9944497e-18,3.3897718e-13
764.00,4.4300728e-14,2.9784853e-13,5.2619729e-17,4.8028794e-18,3.422067e-13
766.00,4.3725985e-14,2.9900664e-13,5.1499341e-17,4.6195232e-18,3.4278876e-13
768.00,4.3160512e-14,2.973595e-13,5.0406058e-17,4.4439887e-18,3.4057488e-13
770.00,4.2604132e-14,2.9291351e-13,4.9339141e-17,4.2759045e-18,3.3557128e-13
772.00,4.205667e-14,2.8583285e-13,4.8297876e-17,4.1149186e-18,3.2794195e-13
774.00,4.1517958e-14,2.7642076e-13,4.7281568e-17,3.9606974e-18,3.1798997e-13
776.00,4.098783e-14,2.6508333e-13,4.6289543e-17,3.8129248e-18,3.0612128e-13
778.00,4.0466124e-14,2.5228383e-13,4.532115e-17,3.6713011e-18,2.9279896e-13
780.00,3.9952682e-14,2.3849664e-13,4.4375755e-17,3.5355419e-18,2.7849725e-13
782.00,3.9447347e-14,2.2416857e-13,4.3452743e-17,3.4053774e-18,2.6366279e-13
784.00,3.894997e-14,2.0969166e-13,4.2551519e-17,3.2805517e-18,2.4868748e-13
786.00,3.8460401e-14,1.953884e-13,4.1671505e-17,3.1608216e-18,2.3389365e-13
788.00,3.7978494e-14,1.8150772e-13,4.081214e-17,3.0459564e-18,2.1953009e-13
790.00,3.7504109e-14,1.6822888e-13,3.9972878e-17,2.9357368e-18,2.0577591e-13
792.00,3.7037105e-14,1.5567002e-13,3.9153193e-17,2.8299544e-18,1.9274912e-13
794.00,3.6577347e-14,1.4389893e-13,3.835257e-17,2.7284112e-18,1.8051737e-13
796.00,3.6124701e-14,1.3294396e-13,3.7570512e-17,2.6309191e-18,1.6910887e-13
798.00,3.5679037e-14,1.2280411e-13,3.6806536e-17,2.5372989e-18,1.585225e-13
800.00,3.5240228e-14,1.1345757e-13,3.6060171e-17,2.4473804e-18,1.4873632e-13
802.00,3.4808148e-14,1.0486868e-13,3.5330963e-17,2.3610015e-18,1.3971453e-13
804.00,3.4382674e-14,9.6993258e-14,3.4618468e-17,2.2780081e-18,1.3141284e-13
806.00,3.3963688e-14,8.9782666e-14,3.3922256e-17,2.1982535e-18,1.2378249e-13
808.00,3.3551072e-14,8.3186654e-14,3.3241911e-17,2.1215977e-18,1.167731e-13
810.00,3.3144711e-14,7.715538e-14,3.2577026e-17,2.0479077e-18,1.1033473e-13
812.00,3.2744493e-14,7.1640729e-14,3.1927207e-17,1.9770566e-18,1.0441914e-13
814.00,3.2350307e-14,6.659714e-14,3.1292071e-17,1.9089237e-18,9.8980657e-14
816.00,3.1962046e-14,6.1982066e-14,3.0671247e-17,1.8433937e-18,9.3976636e-14
818.00,3.1579604e-14,5.7756184e-14,3.0064372e-17,1.7803568e-18,8.9367641e-14
820.00,3.1202877e-14,5.3883422e-14,2.9471095e-17,1.7197084e-18,8.5117499e-14
822.00,3.0831764e-14,5.0330886e-14,2.8891074e-17,1.6613484e-18,8.1193211e-14
824.00,3.0466167e-14,4.7068701e-14,2.8323978e-17,1.6051817e-18,7.7564805e-14
